title,release_date,revenue,popularity,vote_count,vote_average,budget,runtime,adult,genre_names,collection_name
The Company of Wolves,1984-09-21,4389334,8.635,240,6.4,2000000,95,false,"Fantasy, Horror",NA
Abandoned,2022-06-17,0,8.634,22,5.2,0,102,false,"Horror, Mystery, Thriller",NA
The Rezort,2015-06-15,0,8.625,322,5.5,0,87,false,Horror,NA
Solstice,2007-03-02,0,8.619,147,5.3,0,91,false,"Drama, Horror, Mystery",NA
Asylum,1972-11-17,0,8.616,119,6.0,0,88,false,"Horror, Mystery, Thriller",NA
Vampire's Kiss,1988-09-17,725131,8.615,284,5.9,2000000,103,false,"Comedy, Horror",NA
Payne & Redemption,2022-10-04,0,8.609,0,0.0,140000,120,false,"Crime, Drama, Horror, Thriller",NA
From a House on Willow Street,2017-03-24,0,8.604,145,4.7,0,90,false,Horror,NA
Teaching Mrs. Tingle,1999-08-11,8946237,8.599,277,5.5,13000000,96,false,"Comedy, Crime, Horror",NA
Late Phases,2014-11-21,0,8.595,203,5.9,0,95,false,"Horror, Thriller",NA
Hall,2020-08-30,0,8.586,74,5.7,0,80,false,"Horror, Thriller",NA
The Red Book Ritual,2022-09-12,0,8.582,3,8.0,0,83,false,Horror,NA
The Devil's Candy,2017-03-17,0,8.581,549,6.3,0,79,false,"Drama, Horror, Thriller",NA
In Dreams,1999-01-15,12017369,8.577,151,5.4,30000000,100,false,"Horror, Mystery, Thriller",NA
Poultrygeist: Night of the Chicken Dead,2006-12-26,0,8.575,123,5.9,0,103,false,"Comedy, Horror",NA
Resurrection,2022-07-29,0,8.573,50,5.6,0,103,false,"Drama, Horror, Thriller",NA
Chained,2012-10-02,0,8.558,365,6.7,0,94,false,"Crime, Horror, Thriller",NA
The Legend of Hell House,1973-06-15,0,8.557,193,6.8,0,95,false,"Horror, Mystery",NA
Street Trash,1987-02-22,0,8.553,232,6.1,0,100,false,"Comedy, Horror",NA
The Bride,1985-08-16,3558669,8.549,58,5.4,0,114,false,"Drama, Horror, Romance",NA
Open Graves,2009-09-19,0,8.536,91,4.7,6500000,88,false,"Horror, Thriller",NA
Shivers,1975-10-10,1000000,8.535,493,6.3,179000,88,false,Horror,NA
Chillerama,2011-10-14,0,8.528,88,5.6,0,120,false,"Comedy, Horror",NA
Scorned,2013-11-14,0,8.526,45,5.2,1700000,86,false,"Horror, Mystery, Thriller",NA
Beyond Re-Animator,2003-04-04,0,8.525,224,5.6,3000000,95,false,"Comedy, Horror, Science Fiction",Re-Animator Collection
Be Afraid,2017-06-01,0,8.525,100,6.2,0,99,false,"Horror, Mystery, Thriller",NA
Zombie Massacre,2013-06-06,0,8.521,100,5.1,1000000,91,false,"Action, Horror",Zombie Massacre Collection
Mary Reilly,1996-02-23,12379402,8.516,261,5.9,47000000,104,false,"Drama, History, Horror, Thriller",NA
Antibirth,2016-09-02,0,8.514,102,4.9,35000000,94,false,Horror,NA
The Mind's Eye,2015-08-05,0,8.51,73,4.8,0,87,false,"Action, Horror, Science Fiction",NA
The Innocents,1961-12-15,0,8.509,447,7.4,0,100,false,"History, Horror, Thriller",NA
Temple,2017-09-01,0,8.509,157,3.9,0,78,false,"History, Horror",NA
Trico Tri Happy Halloween,2018-09-28,0,8.506,19,4.7,0,0,false,"Comedy, Family, Horror",NA
Communion,1989-11-10,1919653,8.498,133,5.3,5000000,103,false,"Drama, Horror, Science Fiction, Thriller",NA
The Night Stalker,1972-01-11,0,8.496,88,6.9,0,74,false,"Horror, Mystery, Thriller, TV Movie",The Kolchak Collection
In the Spider's Web,2007-08-26,0,8.487,33,4.9,0,88,false,"Horror, TV Movie",Maneater Series
Insanitarium,2008-07-15,0,8.486,89,5.4,0,89,false,"Horror, Thriller",NA
August Underground's Mordum,2003-01-01,0,8.479,60,4.1,300,77,false,Horror,The August Underground Collection
Galaxy of Terror,1981-10-01,0,8.473,149,5.2,700000,81,false,"Action, Adventure, Horror, Science Fiction",NA
Dolls,1987-03-12,0,8.462,257,6.4,0,77,false,"Fantasy, Horror",NA
DeVour,2005-10-01,0,8.46,83,5.5,0,90,false,Horror,NA
The Pact,2012-05-25,0,8.457,410,5.7,0,89,false,"Horror, Mystery, Thriller",The Pact Collection
Attack of the 50 Foot Woman,1958-05-18,480000,8.455,97,4.7,88000,65,false,"Horror, Science Fiction",NA
Corona Zombies,2020-04-10,0,8.454,29,4.7,0,61,false,"Comedy, Horror",Barbie & Kendra Collection
14 Cameras,2018-07-13,0,8.452,76,5.2,0,90,false,"Horror, Thriller",... Cameras Collection
Trick,2019-10-18,0,8.446,98,5.8,0,101,false,"Horror, Thriller",NA
The Culling,2015-03-15,0,8.445,51,4.0,0,81,false,"Horror, Thriller",NA
Faceless,1987-09-01,0,8.444,38,5.8,0,98,false,Horror,NA
After She Wakes,2019-12-13,0,8.444,14,4.9,0,78,false,"Horror, Thriller",NA
Vinyan,2008-08-30,0,8.44,98,5.0,0,96,false,"Drama, Horror, Thriller",NA
Something Wicked This Way Comes,1983-04-29,5656087,8.431,136,6.5,19000000,95,false,"Fantasy, Horror, Mystery, Thriller",NA
Come to Daddy,2019-04-25,57998,8.429,406,5.9,0,96,false,"Comedy, Horror, Thriller",NA
Silent Venom,2009-06-02,0,8.426,25,5.5,0,90,false,"Action, Adventure, Horror, Thriller",NA
Amityville 1992: It's About Time,1992-07-16,0,8.424,84,4.5,0,95,false,Horror,The Amityville Collection
Razorback,1984-04-19,801000,8.422,133,5.7,5500000,95,false,Horror,NA
The Burrowers,2008-09-09,0,8.42,170,5.9,7000000,96,false,"Horror, Western",NA
The Addiction,1995-01-10,0,8.42,205,6.5,0,82,false,"Drama, Horror",NA
Body Bags,1993-08-07,0,8.418,247,6.1,0,94,false,"Comedy, Horror, Science Fiction, TV Movie",NA
In Search of Darkness: Part III,2022-12-01,0,8.405,0,0.0,0,0,false,"Documentary, Horror",In Search of Darkness Collection
A Child's Play Story: Chucky's Revenge,2006-11-06,0,8.396,4,5.3,0,6,false,Horror,NA
Get Duked!,2019-03-08,0,8.391,174,6.1,0,87,false,"Action, Comedy, Horror",NA
In the Earth,2021-04-16,0,8.389,284,5.8,0,107,false,"Horror, Science Fiction, Thriller",NA
The Canal,2014-10-10,0,8.382,363,5.7,0,93,false,"Horror, Mystery, Thriller",NA
Deadly Friend,1986-10-10,8988731,8.379,190,6.1,0,91,false,"Horror, Science Fiction",NA
YellowBrickRoad,2010-01-23,0,8.375,124,4.7,500000,99,false,"Horror, Thriller",NA
Deathwatch,2002-10-06,2270658,8.372,147,5.8,0,94,false,"Drama, Horror, Thriller, War",NA
Suck,2009-09-11,0,8.37,109,6.4,0,91,false,"Comedy, Horror, Music",NA
A Fantastic Fear of Everything,2012-06-07,0,8.365,244,5.7,0,100,false,"Comedy, Horror, Thriller",NA
The Transfiguration,2016-04-14,22091,8.365,108,6.0,0,97,false,"Drama, Horror",NA
The Borderlands,2013-08-24,0,8.363,178,5.4,0,89,false,Horror,NA
Undead,2003-09-04,0,8.362,179,5.5,0,97,false,"Action, Comedy, Horror, Science Fiction",NA
The Zodiac,2005-07-31,86872,8.358,103,5.5,1000000,92,false,"Crime, Drama, Horror, Thriller",NA
He's Out There,2018-10-25,0,8.358,239,5.8,0,89,false,"Horror, Thriller",NA
Flight of the Living Dead,2007-04-06,0,8.357,101,5.1,0,89,false,"Action, Horror",NA
Mermaid Chronicles Part 1: She Creature,2001-12-20,0,8.355,81,5.8,0,91,false,"Fantasy, Horror",NA
Timber Falls,2007-12-07,0,8.354,123,5.2,2600000,97,false,"Horror, Thriller",NA
The Terminators,2009-04-28,0,8.354,48,4.0,0,89,false,"Action, Horror, Science Fiction",NA
Innocent Blood,1992-09-25,0,8.353,174,6.2,0,112,false,"Comedy, Crime, Horror, Thriller",NA
Behind the Mask: The Rise of Leslie Vernon,2006-08-29,69136,8.352,344,6.6,0,92,false,"Comedy, Horror, Thriller",NA
Daylight's End,2016-04-16,0,8.35,137,5.9,2000000,120,false,"Action, Horror, Science Fiction",NA
Burnt Offerings,1976-10-18,0,8.346,180,6.6,0,116,false,"Horror, Mystery, Thriller",NA
Doghouse,2009-06-11,0,8.344,295,6.0,0,89,false,"Comedy, Horror",NA
Matriarch,2018-11-02,0,8.344,44,5.1,0,91,false,"Horror, Thriller",NA
Blood Fest,2018-08-17,0,8.343,185,5.4,0,93,false,"Comedy, Horror",NA
100 Feet,2008-07-22,1415804,8.34,241,5.5,10000000,105,false,"Horror, Thriller",NA
Exeter,2015-01-16,0,8.334,162,4.7,0,91,false,"Horror, Thriller",NA
Like.Share.Follow.,2017-10-31,0,8.321,116,5.2,0,97,false,"Horror, Romance, Thriller",NA
Darkman II: The Return of Durant,1995-07-11,0,8.319,203,5.4,0,93,false,"Action, Adventure, Horror, Science Fiction, Thriller",Darkman Collection
Sharktopus vs. Pteracuda,2014-08-02,0,8.313,62,4.1,0,84,false,"Horror, Science Fiction, TV Movie",Sharktopus Collection
House II: The Second Story,1987-05-14,7800000,8.308,195,5.5,0,88,false,"Comedy, Fantasy, Horror",House Collection
Feast II: Sloppy Seconds,2008-10-07,0,8.307,141,5.2,2000000,97,false,"Action, Comedy, Horror, Thriller",Feast Collection
Nine Dead,2010-03-09,0,8.307,228,5.4,2000000,98,false,"Crime, Horror, Mystery",NA
The Brides of Dracula,1960-07-07,0,8.297,164,6.9,0,85,false,Horror,Dracula (Hammer) Collection
The Quatermass Xperiment,1955-08-26,0,8.292,145,6.7,0,82,false,"Horror, Science Fiction",Quatermass (Hammer series)
"Hush... Hush, Sweet Charlotte",1964-12-15,4000000,8.286,192,7.3,2200000,133,false,"Drama, Horror, Mystery",NA
Penny Dreadful,2006-11-10,0,8.285,103,5.4,0,92,false,"Horror, Thriller",NA
"Silent Night, Deadly Night 5: The Toy Maker",1991-11-06,0,8.282,38,5.0,0,90,false,"Horror, Science Fiction","Silent Night, Deadly Night Collection"
The Driver,2019-11-25,0,8.271,54,6.4,1300000,97,false,"Action, Horror",NA
Hunter Hunter,2020-12-18,0,8.269,200,6.5,0,93,false,"Horror, Mystery, Thriller",NA
Dolly Dearest,1991-09-01,0,8.268,91,5.4,0,93,false,Horror,NA
Dracula A.D. 1972,1972-06-26,0,8.267,129,6.0,0,96,false,Horror,Dracula (Hammer) Collection
The Evil in Us,2016-08-19,0,8.264,62,4.9,0,91,false,Horror,NA
Lost Boys: The Thirst,2010-05-12,0,8.263,91,5.1,4400000,81,false,"Action, Adventure, Comedy, Horror",Lost Boys Collection
The Body,2018-09-21,0,8.263,87,6.4,0,83,false,"Horror, Thriller, TV Movie",NA
Pilgrim,2019-11-01,0,8.259,49,6.0,0,80,false,"Horror, Thriller",NA
Preservation,2014-08-22,0,8.258,161,4.8,0,90,false,"Horror, Thriller",NA
The Djinn,2021-05-14,0,8.255,114,5.9,0,82,false,"Horror, Thriller",NA
The Jail: The Women's Hell,2006-05-01,0,8.25,39,8.6,0,91,false,"Crime, Drama, Horror",NA
Scare Campaign,2016-03-17,0,8.25,153,5.8,0,76,false,Horror,NA
Hellbender,2021-09-28,67474,8.25,47,5.7,0,83,false,Horror,NA
Halloween: 25 Years of Terror,2006-07-26,0,8.239,38,6.8,0,83,false,"Documentary, Horror",NA
Ghosts,1997-09-04,0,8.23,194,8.1,0,39,false,"Horror, Music",NA
Black Rock,2012-01-21,0,8.228,204,4.8,0,79,false,"Horror, Thriller",NA
The Toxic Avenger Part II,1989-02-24,0,8.226,116,5.5,2300000,109,false,"Comedy, Horror, Science Fiction",The Toxic Avenger Collection
Chain Letter,2010-10-01,143000,8.223,104,4.4,5000000,96,false,"Horror, Thriller",NA
The Dark,2005-09-28,0,8.212,215,5.8,0,87,false,"Horror, Mystery, Thriller",NA
Black Mountain Side,2016-01-26,0,8.207,84,5.2,0,99,false,"Horror, Mystery, Thriller",NA
Slaughter High,1986-11-14,0,8.2,92,5.8,0,91,false,Horror,NA
The Curse,1987-09-11,0,8.2,89,5.1,0,92,false,"Horror, Science Fiction",The Curse Collection (1987-1991)
Killer Fish,1979-12-07,0,8.194,38,4.6,0,100,false,"Horror, Science Fiction, Thriller",NA
Masking Threshold,2022-09-30,0,8.194,0,0.0,0,94,false,"Drama, Horror, Thriller",NA
Death Ship,1980-03-07,0,8.187,99,5.5,0,91,false,"Adventure, Horror, Mystery, Thriller",NA
Starfish,2019-03-14,0,8.184,125,5.7,0,101,false,"Drama, Horror, Science Fiction",NA
The Shrine,2010-10-14,0,8.182,176,5.5,1500000,85,false,Horror,NA
Prisoners of the Sun,2013-12-20,0,8.168,49,4.0,18000000,88,false,"Action, Adventure, Horror, Mystery",NA
Flowers in the Attic,1987-11-20,15151736,8.165,162,6.3,0,93,false,"Drama, Horror, Mystery, Thriller",NA
Shark Attack 2,2001-02-13,0,8.164,49,4.9,0,98,false,"Action, Horror, Thriller",Shark Attack
While She Was Out,2008-10-27,498088,8.163,126,5.3,6000000,86,false,"Drama, Horror, Thriller",NA
Venom,1981-11-28,0,8.161,58,5.9,0,93,false,"Horror, Thriller",NA
Rasputin: The Mad Monk,1966-03-06,0,8.159,60,6.0,0,91,false,Horror,NA
Children Shouldn't Play with Dead Things,1972-06-09,0,8.157,76,5.4,70000,86,false,"Comedy, Horror",NA
Unrest,2006-11-11,0,8.156,162,5.8,2500000,88,false,Horror,NA
The Dare,2019-08-09,0,8.151,75,5.6,0,97,false,"Horror, Mystery, Thriller",NA
Detention,2011-03-16,0,8.147,307,5.6,10000000,93,false,"Comedy, Horror, Science Fiction",NA
Howling IV: The Original Nightmare,1988-11-01,0,8.145,81,4.5,0,92,false,Horror,The Howling Collection
First Born,2007-01-01,0,8.142,53,4.9,0,95,false,"Drama, Horror, Thriller",NA
Cerberus,2005-01-01,0,8.129,41,4.6,1700000,92,false,"Fantasy, Horror",NA
Against the Dark,2009-01-01,0,8.106,101,4.2,9000000,94,false,"Action, Horror, Science Fiction, Thriller",NA
The Ouija Experiment 2: Theatre of Death,2015-01-13,0,8.106,75,4.4,875,85,false,Horror,The Ouija Experiment Collection
The Fan,1981-05-15,3100000,8.105,36,6.1,10000000,95,false,"Drama, Horror, Thriller",NA
Tell-Tale,2009-04-24,0,8.103,114,5.4,12000000,92,false,"Drama, Horror, Mystery, Thriller",NA
Blood Feast,1963-07-06,4000000,8.102,132,4.7,24500,67,false,Horror,Blood Feast Collection
And Soon the Darkness,2010-02-25,177182,8.101,318,5.2,0,91,false,"Crime, Horror, Mystery, Thriller",NA
X: The Man with the X-Ray Eyes,1963-07-13,0,8.098,157,6.5,250000,79,false,"Horror, Science Fiction, Thriller",NA
The Abandoned,2006-09-11,4529892,8.097,195,5.5,3000000,99,false,"Horror, Thriller",NA
Hush,2008-08-13,0,8.095,121,5.6,1,91,false,"Action, Horror, Thriller",NA
The Monster Club,1981-04-11,0,8.091,83,6.3,0,104,false,"Comedy, Horror",NA
Extra Ordinary,2019-09-13,0,8.088,176,6.4,0,94,false,"Comedy, Fantasy, Horror",NA
Hangman,2015-03-14,0,8.083,112,4.7,0,85,false,"Horror, Thriller",NA
Blood Quantum,2019-09-05,0,8.076,126,5.8,0,98,false,Horror,NA
Titanic 2000,1999-01-01,0,8.075,10,3.3,0,85,false,"Comedy, Horror",NA
Train,2008-10-16,0,8.073,141,5.3,0,94,false,"Horror, Thriller",NA
Totem,2017-10-31,0,8.072,139,5.2,0,89,false,Horror,NA
Quatermass and the Pit,1967-11-09,0,8.065,180,6.7,0,97,false,"Horror, Mystery, Science Fiction",Quatermass (Hammer series)
The Vampire Lovers,1970-10-04,0,8.065,139,6.5,0,91,false,Horror,Karnstein (Hammer) Trilogy
Cigarette Burns,2005-12-16,0,8.065,110,7.4,0,59,false,"Horror, TV Movie",NA
Contracted: Phase II,2015-07-05,0,8.065,180,5.3,0,78,false,"Drama, Horror, Thriller",Contracted Collection
Long Time Dead,2002-01-18,13102295,8.059,120,5.3,0,94,false,"Horror, Thriller",NA
Cropsey,2009-04-25,35456,8.058,132,6.0,0,84,false,"Crime, Documentary, Horror, Mystery",NA
Dance of the Dead,2008-10-14,0,8.049,167,5.9,0,87,false,"Comedy, Horror",NA
Here Come the Munsters,1995-01-11,0,8.04,16,5.2,0,96,false,"Comedy, Family, Horror",NA
Dying Breed,2008-04-26,0,8.038,89,5.2,0,92,false,"Horror, Thriller",NA
Hell Night,1981-08-28,0,8.037,114,5.7,0,101,false,Horror,NA
Lemon Tree Passage,2014-08-25,0,8.037,85,4.2,0,84,false,"Horror, Mystery, Thriller",NA
Burke & Hare,2010-10-29,4791599,8.034,392,6.1,10000000,91,false,"Comedy, History, Horror, Thriller",NA
The Area 51 Incident,2022-11-01,0,8.029,0,0.0,0,0,false,"Horror, Science Fiction",NA
The Island of Dr. Moreau,1996-08-23,49627779,8.017,433,4.8,40000000,96,false,"Fantasy, Horror, Science Fiction",NA
Alone in the Dark 2,2008-09-01,0,8.013,75,3.8,4600000,88,false,"Action, Fantasy, Horror",Alone in the Dark Collection
Slapface,2022-04-21,0,8.013,13,4.5,0,85,false,"Horror, Thriller",NA
TerrorVision,1986-02-14,320256,8.01,151,5.8,0,83,false,"Comedy, Horror, Science Fiction",NA
The Mummy,1959-08-01,0,8.007,175,6.9,0,88,false,Horror,The Mummy (Hammer) Collection
Frogs,1972-03-10,0,7.999,98,4.8,0,91,false,"Horror, Mystery",NA
Howling III: The Marsupials,1987-05-15,0,7.997,89,4.7,0,98,false,Horror,The Howling Collection
Two Evil Eyes,1990-01-25,0,7.994,204,6.1,9000000,120,false,Horror,NA
ZMD: Zombies of Mass Destruction,2010-01-29,0,7.993,69,5.2,0,92,false,Horror,NA
Alien: Covenant - Prologue: The Crossing,2017-04-26,0,7.985,100,6.3,0,3,false,"Horror, Science Fiction",Alien: Covenant Short Film Collection
6-Headed Shark Attack,2018-08-18,0,7.985,46,4.2,0,89,false,"Action, Horror, Science Fiction, TV Movie",2-Headed Shark Attack Collection
2 Lava 2 Lantula!,2016-08-06,0,7.984,67,5.0,0,85,false,"Horror, Science Fiction, Thriller",Lavalantula Collection
Scream Blacula Scream,1973-06-27,0,7.975,45,6.1,0,96,false,Horror,Blacula Collection
Rosewood Lane,2011-10-15,0,7.973,80,4.9,0,97,false,"Horror, Thriller",NA
Candyman: Farewell to the Flesh,1995-03-17,13940383,7.971,275,5.4,0,93,false,"Horror, Thriller",Candyman Collection
Hideaway,1995-03-03,12201255,7.971,110,5.2,15000000,103,false,"Drama, Horror, Thriller",NA
Dreamkatcher,2020-06-24,0,7.964,88,5.5,0,85,false,"Horror, Thriller",NA
Anything for Jackson,2020-04-04,0,7.957,153,7.0,250000,96,false,Horror,NA
The Dentist 2,1998-12-11,0,7.952,93,5.0,0,100,false,Horror,The Dentist Collection
Surveillance,2008-02-08,1138322,7.951,259,5.9,3500000,97,false,"Horror, Mystery, Thriller",NA
Tamara,2005-05-12,206871,7.94,200,5.2,4750000,98,false,"Fantasy, Horror, Thriller",NA
Feral,2018-05-25,0,7.937,135,6.0,0,90,false,"Action, Drama, Horror, Thriller",NA
The Skeptic,2009-05-01,205585,7.936,77,5.4,0,89,false,"Horror, Thriller",NA
The Boston Strangler,1968-10-08,0,7.934,160,6.8,0,116,false,"Crime, Drama, Horror, Mystery, Thriller",NA
Body Parts,1991-08-02,0,7.934,94,5.9,0,88,false,"Horror, Thriller",NA
Zombies vs. Strippers,2012-07-09,0,7.933,21,3.2,0,74,false,"Comedy, Horror",NA
Attack of the Killer Tomatoes!,1978-10-01,0,7.929,219,4.9,90000,87,false,"Comedy, Horror, Science Fiction",Killer Tomatoes! Collection
Dark Country,2009-10-05,0,7.926,82,5.6,0,88,false,"Crime, Horror, Thriller",NA
The Legend of Johnny Jones,2022-10-01,0,7.924,1,0.0,0,0,false,"Action, Horror, Thriller",NA
The Loneliest Boy in the World,2022-10-14,0,7.92,0,0.0,0,90,false,"Comedy, Horror",NA
The Hand,1981-04-24,566736,7.911,110,6.0,6500000,104,false,"Horror, Thriller",NA
Phantasm IV: Oblivion,1998-07-31,0,7.909,145,5.3,650000,90,false,"Horror, Science Fiction",Phantasm Collection
Mongolian Death Worm,2010-04-08,0,7.905,49,4.9,0,90,false,"Horror, Science Fiction, TV Movie",NA
Itsy Bitsy,2019-08-10,0,7.903,58,4.7,0,94,false,"Horror, Thriller",NA
Pulse 3,2008-12-23,0,7.901,50,4.7,0,91,false,"Horror, Thriller",Pulse Collection
The Prowler,1981-11-06,0,7.897,159,6.0,1000000,89,false,"Horror, Mystery, Thriller",NA
Blood Diner,1987-07-24,0,7.893,96,5.2,0,88,false,"Comedy, Horror",Blood Feast Collection
Kiss of the Damned,2012-11-07,14752,7.891,108,5.1,0,95,false,"Horror, Romance, Thriller",NA
Mikey,1992-11-12,0,7.882,53,6.3,0,90,false,Horror,NA
Taste the Blood of Dracula,1970-05-07,0,7.878,124,6.2,0,95,false,Horror,Dracula (Hammer) Collection
Smiley Face Killers,2020-10-29,0,7.876,18,3.4,0,97,false,"Crime, Drama, Horror, Mystery, Thriller",NA
Spiral,2019-07-14,0,7.872,93,6.2,0,87,false,"Horror, Mystery, Thriller",NA
The Final Rose,2022-10-14,0,7.868,0,0.0,0,0,false,"Horror, Thriller, TV Movie",NA
Evilspeak,1981-08-22,0,7.867,69,5.3,1000000,93,false,Horror,NA
8213: Gacy House,2010-09-28,0,7.863,44,3.3,500,85,false,"Crime, Horror, Mystery",Paranormal Investigations Collection
Evilenko,2004-04-16,0,7.861,81,5.7,9700000,111,false,"Crime, Drama, Horror, Thriller",NA
Fender Bender,2016-05-23,0,7.859,75,5.3,0,91,false,"Horror, Thriller",NA
The Crazies,1973-03-16,0,7.855,274,6.0,275000,103,false,"Action, Horror, Science Fiction, Thriller",NA
Mortuary,2005-08-08,0,7.848,87,4.6,0,94,false,"Horror, Mystery",NA
Black Moon,1975-09-24,0,7.845,117,6.1,0,101,false,"Fantasy, Horror, Mystery, Science Fiction",NA
The Pact II,2014-09-05,0,7.844,145,4.9,0,96,false,"Horror, Mystery, Thriller",The Pact Collection
Kill Theory,2009-10-07,397941,7.822,101,5.3,6000000,82,false,"Horror, Mystery, Thriller",NA
The Broken,2008-11-15,0,7.813,164,5.4,6700000,93,false,"Drama, Horror, Thriller",NA
The Boy,2015-08-14,0,7.807,165,5.9,0,105,false,"Drama, Horror, Thriller",NA
Death Tunnel,2005-10-17,0,7.804,63,3.8,1500000,97,false,Horror,NA
The Tall Man,2012-03-19,0,7.804,971,6.0,18200000,106,false,"Horror, Mystery, Thriller",NA
The Incident,2012-05-04,0,7.803,94,5.6,0,85,false,"Horror, Thriller",NA
Basket Case,1982-04-02,0,7.8,311,6.4,35000,91,false,"Comedy, Horror",Basket Case Trilogy
Super Hybrid,2010-01-01,0,7.794,61,5.1,13000000,95,false,Horror,NA
Trilogy of Terror,1975-03-04,0,7.79,127,6.2,0,72,false,"Horror, Thriller, TV Movie",Trilogy of Terror Collection
The Devil's Hand,2014-10-10,0,7.79,108,5.3,7000000,86,false,"Horror, Thriller",NA
Motel Hell,1980-08-14,0,7.789,187,5.8,3000000,102,false,"Comedy, Horror",NA
Prophecy,1980-02-02,54000000,7.779,96,5.5,12000000,102,false,"Horror, Science Fiction",NA
Strange Invaders,1983-09-16,1362303,7.777,53,5.0,0,92,false,"Horror, Mystery, Science Fiction",NA
White Settlers,2014-09-05,0,7.771,82,4.6,0,83,false,"Horror, Mystery, Thriller",NA
DeepStar Six,1989-01-13,8143225,7.769,208,5.5,8000000,105,false,"Action, Horror, Science Fiction, Thriller",NA
Killer Sofa,2019-10-28,0,7.769,91,4.9,1000000,80,false,"Comedy, Horror",NA
Race with the Devil,1975-06-01,0,7.759,96,6.4,0,88,false,"Action, Horror, Thriller",NA
Ghoulies II,1987-07-31,0,7.758,101,5.2,0,90,false,"Comedy, Horror",Ghoulies Collection
"The Beast from 20,000 Fathoms",1953-06-13,5000000,7.758,142,6.7,210000,80,false,"Drama, Horror, Science Fiction",NA
Gaia,2021-06-18,0,7.757,138,6.0,0,97,false,"Drama, Fantasy, Horror",NA
Tell Me How I Die,2016-09-16,0,7.756,181,5.5,0,107,false,"Horror, Thriller",NA
Crawlers,2020-03-06,0,7.753,64,6.1,0,81,false,"Comedy, Horror",NA
Alone in the Dark,1982-11-12,0,7.734,109,6.0,1000000,93,false,"Horror, Thriller",NA
The Reflecting Skin,1990-08-28,17042,7.733,146,6.7,0,95,false,"Drama, Horror, Thriller",NA
Dead Rising: Endgame,2016-06-20,0,7.732,149,5.1,0,96,false,"Action, Horror",Dead Rising Collection
Road Train,2010-05-28,0,7.729,76,4.1,0,87,false,"Horror, Science Fiction, Thriller",NA
Most Likely to Die,2015-08-30,0,7.728,169,4.4,0,81,false,Horror,NA
Offspring,2009-02-05,0,7.727,71,5.2,0,79,false,Horror,Dead River Collection
Dead Shack,2017-07-02,0,7.724,74,5.7,0,85,false,"Action, Comedy, Horror, Thriller",NA
"Fear, Inc.",2016-04-15,0,7.721,157,5.7,0,92,false,"Comedy, Horror, Thriller",NA
Isabelle,2019-05-24,0,7.72,104,5.1,0,80,false,Horror,NA
Vamp,1986-07-18,4941117,7.719,121,6.0,3300000,93,false,"Comedy, Horror",NA
Resurrection,1999-06-05,0,7.71,192,6.1,10000000,108,false,"Crime, Horror, Mystery, Thriller",NA
The Pale Blue Eye,2022-12-23,0,7.71,0,0.0,72000000,0,false,"Crime, Horror, Mystery, Thriller",NA
The Guardian,1990-04-27,17037887,7.704,138,5.7,0,92,false,"Drama, Horror, Mystery, Thriller",NA
Bad Dreams,1988-04-08,9797098,7.696,79,5.7,4000000,86,false,"Horror, Thriller",NA
Tales of the Black Freighter,2009-03-24,0,7.695,159,6.5,0,26,false,"Action, Animation, Horror",NA
WΔZ,2007-05-19,0,7.694,151,5.4,0,104,false,"Crime, Drama, Horror, Thriller",NA
Buried Alive,2007-02-07,1558939,7.688,96,4.6,0,94,false,"Action, Adventure, Horror, Thriller",NA
Amityville: The Evil Escapes,1989-05-12,0,7.687,79,4.5,0,95,false,Horror,The Amityville Collection
Scare Package,2019-10-04,0,7.684,93,5.6,0,106,false,"Comedy, Horror",NA
Terror Trap,2010-09-22,0,7.682,48,5.0,2000000,86,false,"Horror, Thriller",Vacancy Collection
The Resurrected,1991-10-06,0,7.68,84,6.2,0,108,false,"Horror, Mystery",NA
Enter Nowhere,2011-10-22,0,7.677,161,6.4,0,90,false,"Horror, Mystery, Science Fiction, Thriller",NA
Ouija: Summoning,2015-01-01,0,7.671,20,4.3,150000,90,false,Horror,NA
Pumpkinhead: Ashes to Ashes,2010-02-04,0,7.668,67,5.3,6000000,95,false,"Fantasy, Horror",Pumpkinhead Collection
Let Her Out,2016-08-25,0,7.668,71,4.9,0,89,false,Horror,NA
The Pit and the Pendulum,1991-06-27,0,7.665,89,5.8,2000000,97,false,"Horror, Romance",NA
Jack in the Box,2010-04-12,0,7.665,4,5.0,0,88,false,"Horror, Thriller",NA
#Horror,2015-11-20,0,7.663,171,3.5,1500000,90,false,"Drama, Horror, Mystery, Thriller",NA
Joshua,2007-01-21,719968,7.661,220,5.6,0,105,false,"Drama, Horror, Thriller",NA
Ilsa: She Wolf of the SS,1975-10-01,0,7.657,287,6.1,0,96,false,"Horror, Thriller, War","Ilsa, She Wolf of the SS Collection"
The Shed,2019-10-25,0,7.655,88,5.7,0,98,false,"Horror, Thriller",NA
Abigail,2019-11-22,0,7.655,4,7.3,0,12,false,Horror,NA
Burial,2022-09-02,0,7.655,8,5.0,0,95,false,"Horror, Thriller, War",NA
Reign of Chaos,2022-04-12,0,7.655,6,4.0,0,77,false,"Action, Fantasy, Horror",NA
Highway to Hell,1991-11-21,26055,7.654,81,6.0,9000000,94,false,"Action, Comedy, Fantasy, Horror",NA
Trash Fire,2016-11-03,0,7.643,77,5.8,0,91,false,"Comedy, Horror, Romance",NA
